Period Month,Data
Periodo de 06-01-2021 a 06-30-2021
Periodo de 07-01-2021 a 07-31-2021
Periodo de 08-01-2021 a 08-31-2021
Periodo de 09-01-2021 a 09-30-2021
Periodo de 10-01-2021 a 10-31-2021
Periodo de 11-01-2021 a 11-30-2021
Periodo de 12-01-2021 a 12-31-2021
Periodo de 01-01-2022 a 01-31-2022
Periodo de 02-01-2022 a 02-28-2022
Periodo de 03-01-2022 a 03-31-2022
Periodo de 04-01-2022 a 04-30-2022
Periodo de 05-01-2022 a 05-31-2022
Periodo de 06-01-2022 a 06-31-2022
Periodo de 07-01-2022 a 07-31-2022
Periodo de 08-01-2022 a 08-31-2022
Periodo de 09-01-2022 a 09-30-2022
Periodo de 10-01-2022 a 10-31-2022
Periodo de 11-01-2022 a 11-30-2022
Periodo de 12-01-2022 a 12-31-2022
Periodo de 01-01-2023 a 01-31-2023
Periodo de 02-01-2023 a 02-28-2023
Periodo de 03-01-2023 a 03-31-2023
Periodo de 04-01-2023 a 04-30-2023
Periodo de 05-01-2023 a 05-31-2023
Periodo de 06-01-2023 a 06-30-2023
Periodo de 07-01-2023 a 07-31-2023
Periodo de 08-01-2023 a 08-31-2023
Periodo de 09-01-2023 a 09-31-2023
Periodo de 10-01-2023 a 10-31-2023
Periodo de 11-01-2023 a 11-30-2023
Periodo de 12-01-2023 a 12-31-2023
Periodo de 01-01-2024 a 01-31-2024
Periodo de 02-01-2024 a 02-29-2024
Periodo de 03-01-2024 a 03-31-2024
Periodo de 4-01-2024 a 4-30-2024
Periodo de 5-01-2024 a 5-31-2024
Periodo de 6-01-2023 a 6-30-2024
